"","x"
"Gooloogongia",0.243572060791719
"Screbinodus",0.0244802103219699
"Marsdenichthys",-0.00996454479264167
"Canowindra",-0.219423797141386
"Beelarongia",-0.187425868174834
"Koharalepis",-0.238972828926432
"Tinirau",0.0450230290066734
"Gogonasus",-0.00305639526239049
"Gyroptychius",-0.0541482457321394
"Osteolepis",0.0620375262408059
"Cladarosymblema",0.0186659822949154
"Palatinichthys",0.118665982294915
"Cabonnichthys",-0.0243863035335537
"Bruehnopteron",-0.0222420211701751
"Eusthenopteron",-0.0215898800132373
"Heddleichthys",-0.0144469154022462
"Mandageria",-0.0173898161108964
"Edenopteron",-0.0227799662950342
"Panderichthys",0.0912025878792759
"Tiktaalik",0.104114879476422
"Elpistostege",-0.0915218607114776
"Ventastega",0.264114879476422
"Acanthostega",0.200482281355418
"Ichthyostega",0.24448021032197
"Whatcheeria",0.239574131825166
"Pederpes",0.23666184022802
"Deltaherpeton",0.0882484472419062
"Colosteus",0.093049533023132
"Greererpeton",0.0972365722040682
"Acherontiscus",-0.100593000846751
"Adelogyrinus",0.142217085113409
"Adelospondylus",0.136849683234413
"Crassigyrinus",0.328112808442975
"Spathicephalus",0.295023029006673
"Baphetes_bohemicus",0.1939818385427
"Baphetes_kirkbyi",0.194339329633793
"Baphetes_orientalis",0.194631003225975
"Baphetes_lintonensis",0.193517701670457
"Megalocephalus",0.123018886939778
"Kyrinion",0.404657698161125
"Loxomma",0.199020957973226
"Eucritta",0.394668053328363
"Adamanterpeton",0.311922894403134
"Cochleosaurus",0.0815679187248237
"Chenoprosopus_milleri",0.0421107374095267
"Chenoprosopus_lewisi",0.175210872013066
"Nigerpeton",0.0444698551547322
"Edops",0.0388331149668327
"Balanerpeton",0.338853825301308
"Dendrerpeton",0.190847612200966
"Gephyrostegus",0.235770258965349
"Silvanerpeton",0.423394572952564
"Eoherpeton",0.24448021032197
"Proterogyrinus",0.367935320603819
"Pholiderpeton_scutigerum",0.212110737409527
"Archeria",0.215388359852221
"Pholiderpeton_attheyi",0.147382146751878
"Anthracosaurus",0.358655627127678
"Ossinodus",0.329929107503477
